eval,foo,bar
0.008039102114,0.4486647008,0.8431474496
0.5987249812,0.1164430573,0.6824818072
0.4005598922,0.5616253982,0.3894854026
0.1825752401,0.4173246203,0.455769043
0.9336411589,0.8811369408,0.7806253699
0.01199167618,0.5677988352,0.3215391193
0.2491258674,0.4533169123,0.5864019502
0.8680453664,0.2708813247,0.6666983846
0.3896760147,0.6982645178,0.8100133324
0.728991694,0.1366111821,0.4393391827
0.7269783533,0.7599652336,0.9562534532
0.6965571697,0.4652679257,0.4159789611
0.5389903067,0.2670185194,0.4116366495
0.3350304129,0.1218992832,0.5311866526
0.3174616485,0.4971880605,0.9808610592
0.3715973362,0.5955951294,0.774001673
0.5470210341,0.9806944327,0.1400791651
0.9063005897,0.1763167704,0.08870666824
0.5553503946,0.7718601056,0.4181708033